Hon Tony Abbott: Member for Warringah, New South Wales
Mr Craig Kelly: Member for Hughes, New South Wales
The Hon Dr Mike Kelly AM: Member for Eden-Monaro, New South Wales
Mr Matt Keogh: Member for Burt, Western Australia
Mr Peter Khalil: Member for Wills, Victoria
Hon Catherine King: Member for Ballarat, Victoria
Ms Madeleine King: Member for Brand, Western Australia
Ms Susan Lamb: Member for Longman, Queensland
Mr Andrew Laming: Member for Bowman, Queensland
Ms Michelle Landry: Member for Capricornia, Queensland
Hon Craig Laundy: Member for Reid, New South Wales
Mr Julian Leeser: Member for Berowra, New South Wales
Hon Dr Andrew Leigh: Member for Fenner, Australian Capital Territory
Hon Sussan Ley: Member for Farrer, New South Wales
Hon Jenny Macklin: Member for Jagajaga, Victoria
Ms Nola Marino: Member for Forrest, Western Australia
Hon Richard Marles: Member for Corio, Victoria
Ms Emma McBride: Member for Dobell, New South Wales
Hon Michael McCormack: Member for Riverina, New South Wales
Ms Cathy McGowan AO: Member for Indi, Victoria
Dr John McVeigh: Member for Groom, Queensland
Mr Brian Mitchell: Member for Lyons, Tasmania
Mr Rob Mitchell: Member for McEwen, Victoria
Hon Scott Morrison: Member for Cook, New South Wales
Mr Ben Morton: Member for Tangney, Western Australia
Hon Shayne Neumann: Member for Blair, Queensland
Mr Ted O'Brien: Member for Fairfax, Queensland
Mr Llew O'Brien: Member for Wide Bay, Queensland
Hon Brendan O'Connor: Member for Gorton, Victoria
Mr Ken O'Dowd: Member for Flynn, Queensland
Hon Kelly O'Dwyer: Member for Higgins, Victoria
Ms Clare O'Neil: Member for Hotham, Victoria
Ms Julie Owens: Member for Parramatta, New South Wales
Mr Tony Pasin: Member for Barker, South Australia
Mr Graham Perrett: Member for Moreton, Queensland
Hon Keith Pitt: Member for Hinkler, Queensland
Hon Tanya Plibersek: Member for Sydney, New South Wales
Hon Christian Porter: Member for Pearce, Western Australia
Hon Jane Prentice: Member for Ryan, Queensland
Ms Melissa Price: Member for Durack, Western Australia
Hon Christopher Pyne: Member for Sturt, South Australia
Mr Rowan Ramsey: Member for Grey, South Australia
Hon Amanda Rishworth: Member for Kingston, South Australia
Hon Stuart Robert: Member for Fadden, Queensland
Ms Michelle Rowland: Member for Greenway, New South Wales
Ms Joanne Ryan: Member for Lalor, Victoria
Ms Rebekha Sharkie: Member for Mayo, South Australia
Hon Bill Shorten: Member for Maribyrnong, Victoria
The Hon Tony Smith: Member for Casey, Victoria
Hon Warren Snowdon: Member for Lingiari, Northern Territory
Ms Anne Stanley: Member for Werriwa, New South Wales
Mrs Ann Sudmalis: Member for Gilmore, New South Wales
Mr Michael Sukkar: Member for Deakin, Victoria
Hon Wayne Swan: Member for Lilley, Queensland
Ms Meryl Swanson: Member for Paterson, New South Wales
Hon Angus Taylor: Member for Hume, New South Wales
Hon Dan Tehan: Member for Wannon, Victoria
Ms Susan Templeman: Member for Macquarie, New South Wales
Hon Matt Thistlethwaite: Member for Kingsford Smith, New South Wales
Hon Alan Tudge: Member for Aston, Victoria
Hon Malcolm Turnbull: Member for Wentworth, New South Wales
Ms Maria Vamvakinou: Member for Calwell, Victoria
Mr Bert van Manen: Member for Forde, Queensland
Mr Ross Vasta: Member for Bonner, Queensland
Mr Andrew Wallace: Member for Fisher, Queensland
Mr Tim Watts: Member for Gellibrand, Victoria
Mrs Lucy Wicks: Member for Robertson, New South Wales
Mr Andrew Wilkie: Member for Denison, Tasmania
Mr Josh Wilson: Member for Fremantle, Western Australia
Mr Rick Wilson: Member for O'Connor, Western Australia
Mr Tim Wilson: Member for Goldstein, Victoria
Mr Jason Wood: Member for La Trobe, Victoria
Hon Ken Wyatt AM: Member for Hasluck, Western Australia
Mr Tony Zappia: Member for Makin, South Australia
Mr Trent Zimmerman: Member for North Sydney, New South Wales
